manager,manager_brand,market,unit_count,miles_from_city_center,number_stories,property_quality,building_age,total_pop,land_area,pop_density,unemployed_perc,hs_diploma_perc,bachelors_perc,masters_perc,star_rating,aided_recognition,unaided_recognition,rating,area_type_Rural,area_type_Suburban,area_type_Urban,style_Garden,style_Hi-Rise,style_Low-Rise,style_Mid-Rise,style_Townhome,building_class_A,building_class_B,building_class_C
Cortland,0,"Atlanta, GA",324.0,13.772982906840411,3.0,0.7148907101179415,26.0,3784.0,5948299.0,0.0006361482501131,0.0240486257928118,0.1678118393234672,0.2058668076109936,0.0346194503171247,4.0,0.3260553129548763,0.0611353711790393,4.0,0,0,0,1,0,0,0,0,1,0,0
Cortland,0,"Atlanta, GA",236.0,3.6735842614248417,3.0,0.660324131797542,38.0,2521.0,643025.0,0.0039205318611251,0.0587068623562078,0.117810392701309,0.2340341134470448,0.1539071796905989,3.0,0.3260553129548763,0.0611353711790393,3.3,0,0,0,1,0,0,0,0,0,1,0
Cortland,1,"Atlanta, GA",411.0,2.974233812937044,4.0,0.7925758326495135,24.0,4847.0,3020898.0,0.001604489790784,0.0183618733237053,0.1361667010521972,0.2776975448731174,0.1303899319166494,4.0,0.3260553129548763,0.0611353711790393,4.5,0,0,0,0,0,0,1,0,0,1,0
Cortland,0,"Atlanta, GA",372.0,1.9748617683335556,5.0,0.8426572763763319,17.0,3182.0,1481637.0,0.0021476245531125,0.0050282840980515,0.0295411690760528,0.3658076681332495,0.1945317410433689,4.0,0.3260553129548763,0.0611353711790393,4.0,0,0,1,0,0,0,1,0,0,1,0
Cortland,1,"Atlanta, GA",252.0,2.6343708764944704,7.0,0.7778740998035654,30.0,2776.0,3608604.0,0.0007692725497172,0.007564841498559,0.0706051873198847,0.2889048991354467,0.1920028818443804,3.0,0.3260553129548763,0.0611353711790393,4.0,0,0,0,1,0,0,0,0,0,1,0
Cortland,1,"Atlanta, GA",268.0,4.759099986509552,3.0,0.7716393342087945,33.0,3457.0,3189140.0,0.0010839912954589,0.0043390222736476,0.0538038761932311,0.2976569279722302,0.1498409025166329,3.0,0.3260553129548763,0.0611353711790393,4.8,0,1,0,1,0,0,0,0,0,1,0
Cortland,1,"Atlanta, GA",186.0,1.4034793120626714,5.0,0.7560487541964602,10.0,3402.0,4504346.0,0.000755270576461,0.0058788947677836,0.0408583186360964,0.3436213991769547,0.1990005878894767,4.0,0.3260553129548763,0.0611353711790393,4.2,0,1,0,0,0,0,1,0,1,0,0
Cortland,1,"Atlanta, GA",234.0,5.123472626760948,6.0,0.854720562388741,11.0,4538.0,1280522.0,0.0035438672666303,0.0568532393124724,0.1022476862053768,0.1414720141031291,0.1148082855883649,4.0,0.3260553129548763,0.0611353711790393,4.6,0,0,0,0,0,0,1,0,1,0,0
Cortland,1,"Atlanta, GA",843.0,15.18849515517279,4.0,0.6242819482388557,23.0,3848.0,3492412.0,0.0011018173113595,0.0127338877338877,0.1556652806652806,0.0938149688149688,0.0457380457380457,4.0,0.3260553129548763,0.0611353711790393,4.4,0,0,0,0,0,0,1,0,0,1,0
Cortland,1,"Atlanta, GA",319.0,1.465191601097283,6.0,0.7934742767859991,8.0,3547.0,672395.0,0.00527517307535,0.0947279391034677,0.0425711869185226,0.3701719763180152,0.2509162672681139,4.0,0.3260553129548763,0.0611353711790393,4.5,0,0,1,0,0,0,1,0,1,0,0
