,market,rank,total_units,total_properties,lat,lon,submarket
168,"Cedar Rapids, IA",1,565.0,2,41.97,-91.74,Cedar Hills
169,"Cedar Rapids, IA",2,522.0,1,42.02,-91.66,Iowa City/Waterloo
170,"Cedar Rapids, IA",3,518.0,2,42.05,-91.6,Iowa City/Waterloo
171,"Chambersburg-Waynesboro, PA",1,304.0,1,39.92,-77.63,Franklin County
172,"Chambersburg-Waynesboro, PA",2,231.0,2,39.92,-77.68,Franklin County
173,"Chambersburg-Waynesboro, PA",3,172.0,1,40.06,-77.54,Franklin County
174,"Champaign-Urbana, IL",1,1109.0,6,40.11,-88.29,Champaign-Urbana
175,"Champaign-Urbana, IL",2,704.0,3,40.14,-88.25,Champaign-Urbana
176,"Champaign-Urbana, IL",3,662.0,1,40.12,-88.2,Champaign-Urbana
177,"Charleston , WV",1,549.0,1,38.32,-81.57,Northeast Charleston
178,"Charleston , WV",2,396.0,2,38.37,-81.72,St Albans/Cross Lanes
179,"Charleston , WV",3,333.0,1,38.35,-81.62,Northeast Charleston
180,"Charleston, SC",1,1874.0,9,32.8,-79.94,East Central
181,"Charleston, SC",2,1398.0,7,32.95,-80.05,North Charleston
182,"Charleston, SC",3,1104.0,4,32.82,-80.09,West Ashley
183,"Charlotte, NC",1,6061.0,18,35.22,-80.85,The South End
184,"Charlotte, NC",2,4128.0,16,35.21,-80.86,Wilmore
185,"Charlotte, NC",3,3761.0,13,35.23,-80.85,Third Ward
186,"Charlottesville, VA",1,1218.0,6,38.07,-78.49,Charlottesville
187,"Charlottesville, VA",2,979.0,4,38.08,-78.47,Charlottesville
188,"Charlottesville, VA",3,776.0,2,38.05,-78.52,West Charlottesville
189,"Chattanooga, TN",1,2283.0,9,35.05,-85.32,Westside Chattanooga
190,"Chattanooga, TN",2,1000.0,4,35.01,-85.16,East Brainerd
191,"Chattanooga, TN",3,893.0,3,35.05,-85.15,Tyner-Greenwood
192,"Cheyenne, WY",1,372.0,1,41.11,-104.81,I-80 Corridor/Cheyenne
193,"Cheyenne, WY",2,304.0,2,41.17,-104.79,I-80 Corridor/Cheyenne
194,"Cheyenne, WY",3,260.0,2,41.14,-104.75,I-80 Corridor/Cheyenne
195,"Chicago, IL",1,14024.0,57,41.9,-87.63,Near North Side
196,"Chicago, IL",2,12467.0,26,41.89,-87.62,Streeterville
197,"Chicago, IL",3,11781.0,9,41.86,-87.63,South Loop
198,"Chico, CA",1,802.0,5,39.74,-121.8,Redding/Chico
199,"Chico, CA",2,628.0,5,39.77,-121.83,Redding/Chico
200,"Chico, CA",3,570.0,6,39.74,-121.86,Redding/Chico
201,"Cincinnati, OH",1,4149.0,22,39.1,-84.51,City Center
202,"Cincinnati, OH",2,2300.0,1,39.29,-84.46,Springdale
203,"Cincinnati, OH",3,2098.0,4,39.11,-84.53,West End
204,"Clarksville, TN",1,751.0,4,36.64,-87.43,Clarksville
205,"Clarksville, TN",2,624.0,3,36.58,-87.23,Clarksville
206,"Clarksville, TN",3,477.0,4,36.59,-87.4,Clarksville
207,"Cleveland, OH",1,4766.0,18,41.5,-81.69,Public Square
208,"Cleveland, OH",2,2144.0,12,41.5,-81.68,Playhouse Square
209,"Cleveland, OH",3,1927.0,11,41.5,-81.7,Warehouse District
210,"Cleveland, TN",1,380.0,2,35.21,-84.87,Tennessee East Area
211,"Cleveland, TN",2,367.0,2,35.17,-84.86,Downtown Cleveland
212,"Cleveland, TN",3,250.0,1,35.16,-84.89,Downtown Cleveland
213,"Coeur d'Alene, ID",1,534.0,2,47.7,-116.83,Kootenai County
214,"Coeur d'Alene, ID",2,534.0,2,47.73,-116.81,Kootenai County
